,When?,What?,What exactly?,Who responsible?,Comments
Dienstag,,Packen,Hemd,,
,,,Ringe,,
,,,Papiere,,
,,,Reisepässe,,
,,,Jutebeutel (diverser Kram unter Kleiderstangen),,
,,,Unterhosen,,
,,,Kleider,,
,,,Anzug,,
,,,Schuhe,,
,,,Tüte Schleier und co,,
,,,Spiegel und Aufschrift,,
,,,Airwrap mitnehmen,,
,,,Steamer,,
,,,Langes kabel einpacken für notfälle,,
,,,Seifenblasen,,
,,,Kissen Cathrin,,
,,,Decken,,
,,Zu Matthias und melli fahren,,,
,,Golf putzen,,Christoph,
Mittwoch,09:00,Einkaufen,Cathrin zu Kählers,Christoph,
,09:00,,Für bolo,Christoph,
,,,Nudeln,Christoph,
,,,Parmesan,Christoph,
,,,Schmuck für golf,Christoph,
,,,Daim Torte,Christoph,
,,Bolo kochen,,Christoph,
,10 Uhr,Strauß besorgen für Standesamt,,Cathrin,
,,Hasselgrund schmücken,Schilder basteln,C&C,Vivi und Papa bescheid geben für Uhrzeit
,,,Blumen verteilen,C&C,
,,,Deko verteilen,C&C,
,,,Getränke hinbringen,Cathrin,
,,,Daimtorte hinbringen,Christoph,
,15:30,Zelt aufbauen,,Christoph,
,16:00/17:00,Larissa abholen,,Cathrin,
,,Bolo & Nudel packungen nach Hasselgrund bringen,,Christoph,
,,Checken dass Töpfe in Hasselgrund sind,,Christoph,
,,Golf schmücken mit weißen Bändchen,,Christoph (bzw Gisela fragen),
,,Cathrin schläft bei Kählers,,Cathrin,
,,Christoph schläft bei Schroeders,,Christoph,
Donnerstag,,Packen,Reisepass einpacken,,
,,,Sekt gläser,,
,,,Sekt,,
,,,Papiere (Parken und noch was?),,
,,,Seifenblasen,,
,,Anzug Hemd bügeln,,,
,,Frühstücken,,,
,,Kaffee,,,
,,Home workout,,,
,11:30,Fahren zum Standesamt,,,
,12:00,Treffen Standesamt,,,
,12:15,Alle hoch + Anmeldung im Standesamt mit Trauzeugen,,,
,12:30,Heiraten,,,
,13:00,Sektempfang,,,
,14:00,Autocorso Hasselgrund,,,
,,Ankunft Hasselgrund,,,
,,Getränke,,,
,,Bolo warm machen,,,
,,Nudeln kochen,,,
,~22:00,Aufräumen,,C&C,
,,Getränke und leftovers einpacken,,,
,,Cathrin schläft bei Kählers,,Cathrin,
,,Christoph schläft bei Schroeders,,Christoph,
Freitag,,Anzug Hemd bügeln,,Christoph,
,,Home workout,,Christoph,
,,Rasieren,,Christoph,
,,Dani bei Hasselgrund absetzen,,Christoph,
,,Entscheiden ob wir drinnen oder draußen heiraten,,,
,,Gartenklapptstühle besorgen (15 ca),,Christoph,
,,Hüpfburg abholen,,Christoph,
,,Cornhole abholen,,Christoph,
